# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
0 200
154 7.675 1.51981 50.1797 0.744527 91.5273 0.76049 88.5
155 7.725 1.30345 51.4219 1.10442 93.6406 0.887722 90.1953
156 7.775 1.06824 52.4531 1.39255 96.3398 0.918744 91.9727
157 7.825 0.759014 53.1953 1.84635 99.9648 1.02466 93.9805
158 7.875 0.378647 53.5703 2.12354 104.188 1.11207 96.1875
159 7.925 0.288203 53.8594 2.30631 108.832 1.24773 98.6953
160 7.975 0.076919 53.9375 2.46903 113.867 1.449 101.645
161 8.025 0.0379817 53.9766 2.37026 118.762 1.50113 104.738
162 8.075 0.0675231 54.0469 2.13922 123.234 1.51817 107.906
163 8.125 0.0666946 54.1172 1.76604 126.973 1.50324 111.082
164 8.175 0.183003 54.3125 1.40727 129.988 1.5123 114.316
165 8.225 0.470042 54.8203 1.02825 132.219 1.47593 117.512
166 8.275 0.793016 55.6875 0.677835 133.707 1.33872 120.445
167 8.325 1.14351 56.9531 0.455267 134.719 1.34558 123.43
168 8.375 1.65998 58.8125 0.330004 135.461 1.33478 126.426
169 8.425 2.12278 61.2188 0.257446 136.047 1.23988 129.242
170 8.475 2.63589 64.2422 0.264594 136.656 1.30007 132.23
171 8.525 2.807 67.5 0.281615 137.312 1.28318 135.215
172 8.575 2.40178 70.3203 0.430765 138.328 1.21016 138.062
173 8.625 1.98602 72.6797 0.582998 139.719 1.25852 141.059
174 8.675 1.78768 74.8281 0.726846 141.473 1.14025 143.805
175 8.725 1.1696 76.25 0.910577 143.695 1.16891 146.652
176 8.775 0.698865 77.1094 0.973007 146.098 1.12709 149.43
177 8.825 0.395737 77.6016 0.97922 148.543 1.10339 152.18
178 8.875 0.186329 77.8359 1.02854 151.141 1.10339 154.961
179 8.925 0.098265 77.9609 0.861048 153.34 0.999115 157.508
180 8.975 0.0910998 78.0781 0.732001 155.23 1.03347 160.172
181 9.025 0.102106 78.2109 0.527978 156.609 0.998077 162.773
182 9.075 0.172266 78.4375 0.470402 157.852 0.914484 165.184
183 9.125 0.317266 78.8594 0.348214 158.781 0.793078 167.297
184 9.175 0.36612 79.3516 0.315486 159.633 0.681507 169.133
185 9.225 0.603603 80.1719 0.324959 160.52 0.656927 170.922
