True Plastic Strain (-)	 True Stress (MPa)
0.356	870.8269840331240
0.357	870.9038775254970
0.358	870.9797287286390
0.359	871.0545517707530
0.36	871.1283605885330
0.361	871.2011689297650
0.362	871.2729903558790
0.363	871.3438382444850
0.364	871.4137257918580
0.365	871.4826660153960
0.366	871.5506717560490
0.367	871.6177556807090
0.368	871.6839302845640
0.369	871.7492078934360
0.37	871.8136006660670
0.371	871.8771205963890
0.372	871.9397795157550
0.373	872.0015890951460
0.374	872.0625608473430
0.375	872.1227061290710
0.376	872.182036143115
0.377	872.2405619404070
0.378	872.2982944220830
0.379	872.3552443415150
0.38	872.411422306313
0.381	872.4668387803020
0.382	872.5215040854700
0.383	872.5754284038890
0.384	872.6286217796160
0.385	872.6810941205580
0.386	872.7328552003230
0.387	872.7839146600380
0.388	872.8342820101420
0.389	872.8839666321650
0.39	872.932977780465
0.391	872.9813245839620
0.392	873.0290160478320
0.393	873.0760610551860
0.394	873.1224683687240
0.395	873.1682466323690
0.396	873.2134043728760
0.397	873.2579500014190
0.398	873.3018918151590
0.399	873.3452379987900
0.4	873.3879966260620
0.401	873.4301756612870
0.402	873.4717829608170
0.403	873.5128262745160
0.404	873.553313247197
0.405	873.5932514200470
0.406	873.6326482320320
0.40700000000000000	873.6715110212860
0.40800000000000000	873.7098470264710
0.40900000000000000	873.7476633881320
0.41000000000000000	873.7849671500240
0.41100000000000000	873.8217652604210
0.41200000000000000	873.8580645734170
0.41300000000000000	873.8938718501960
0.41400000000000000	873.9291937602980
0.41500000000000000	873.9640368828530
0.41600000000000000	873.9984077078150
0.417	874.0323126371640
0.418	874.0657579861030
0.419	874.0987499842330
0.42	874.1312947767110
0.421	874.1633984253990
0.422	874.1950669099870
0.423	874.2263061291150
0.424	874.2571219014630
0.425	874.2875199668430
0.426	874.3175059872590
0.427	874.3470855479720
0.428	874.3762641585300
0.429	874.4050472538040
0.43	874.4334401949920
0.431	874.4614482706210
0.432	874.4890766975350
0.433	874.5163306218620
0.434	874.5432151199750
0.435	874.5697351994340
0.436	874.595895799927
0.437	874.6217017941800
0.438	874.6471579888720
0.439	874.672269125526
0.44	874.6970398813950
0.441	874.7214748703310
0.442	874.745578643646
0.443	874.769355690959
0.444	874.792810441032
0.445	874.8159472625960
0.446	874.8387704651620
0.447	874.861284299829
0.448	874.8834929600690
0.449	874.9054005825150
0.45	874.927011247724
0.451	874.9483289809450
0.452	874.9693577528630
0.453	874.9901014803400
0.454	875.0105640271460
0.455	875.0307492046790
0.456	875.0506607726700
0.457	875.0703024398900
0.458	875.089677864836
0.459	875.1087906564160
0.46	875.1276443746180
0.461	875.1462425311740
0.462	875.1645885902150
0.463	875.1826859689180
0.464	875.2005380381360
0.465	875.2181481230340
0.466	875.2355195037030
0.467	875.2526554157720
0.468	875.269559051011
0.46900000000000000	875.2862335579270
0.47000000000000000	875.3026820423480
0.47100000000000000	875.3189075680030
0.47200000000000000	875.3349131570920
0.47300000000000000	875.3507017908500
0.47400000000000000	875.366276410099
0.47500000000000000	875.3816399158010
0.47600000000000000	875.3967951695950
0.47700000000000000	875.4117449943290
0.47800000000000000	875.4264921745900
0.47900000000000000	875.4410394572160
0.48	875.4553895518160
0.481	875.4695451312670
0.482	875.4835088322180
0.483	875.4972832555770
0.484	875.5108709669950
0.485	875.5242744973490
0.486	875.5374963432080
0.487	875.5505389672990
0.488	875.563404798971
0.489	875.5760962346390
0.49	875.5886156382350
0.491	875.6009653416510
0.492	875.6131476451680
0.493	875.6251648178870
0.494	875.6370190981510
0.495	875.6487126939640
0.496	875.6602477833980
0.497	875.6716265150040
0.498	875.6828510082070
0.499	875.6939233537060
0.5	875.7048456138570
0.501	875.7156198230650
0.502	875.7262479881550
0.503	875.7367320887520
0.504	875.7470740776450
0.505	875.7572758811570
0.506	875.7673393994940
0.507	875.7772665071100
0.508	875.7870590530480
0.509	875.7967188612880
0.51	875.8062477310860
0.511	875.8156474373090
0.512	875.8249197307650
0.513	875.8340663385320
0.514	875.843088964275
0.515	875.851989288568
0.516	875.8607689692030
0.517	875.8694296415030
0.518	875.8779729186210
0.519	875.8864003918460
0.52	875.8947136308980
0.521	875.9029141842160
0.522	875.911003579254
0.523	875.9189833227590
0.524	875.9268549010540
0.525	875.9346197803160
0.526	875.9422794068470
0.527	875.9498352073460
0.528	875.9572885891710
0.529	875.9646409406050
0.53	875.9718936311120
0.531	875.9790480115940
0.532	875.9861054146400
0.533	875.9930671547760
0.534	875.9999345287110
0.535	876.0067088155760
0.536	876.0133912771640
0.537	876.0199831581640
0.538	876.0264856863930
0.539	876.0329000730270
0.54	876.0392275128210
0.541	876.0454691843380
0.542	876.051626250165
0.543	876.0576998571290
0.544	876.0636911365140
0.545	876.0696012042670
0.546	876.0754311612090
0.547	876.0811820932420
0.548	876.0868550715440
0.549	876.0924511527780
0.55	876.0979713792800
0.551	876.1034167792600
0.552	876.1087883669880
0.553	876.1140871429890
0.554	876.1193140942230
0.555	876.124470194273
0.556	876.1295564035250
0.557	876.1345736693460
0.558	876.1395229262640
0.559	876.1444050961360
0.56	876.149221088327
0.561	876.1539717998720
0.562	876.1586581156500
0.5630000000000000	876.1632809085420
0.5640000000000000	876.167841039601
0.5650000000000000	876.1723393582050
0.5660000000000000	876.176776702221
0.5670000000000000	876.1811538981580
0.5680000000000000	876.1854717613200
0.5690000000000000	876.1897310959640
0.5700000000000000	876.1939326954400
0.5710000000000000	876.1980773423470
0.5720000000000000	876.2021658086770
0.5730000000000000	876.2061988559550
0.5740000000000000	876.2101772353860
0.5750000000000000	876.2141016879890
0.5760000000000000	876.2179729447420
0.577	876.2217917267140
0.578	876.2255587451990
0.579	876.2292747018480
0.58	876.2329402888050
0.581	876.2365561888290
0.582	876.2401230754240
0.583	876.2436416129680
0.584	876.2471124568290
0.585	876.2505362534940
0.586	876.2539136406880
0.587	876.2572452474880
