Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.04			
2	50.00	50.00	54.04			
3	50.00	50.00	54.04			
						
Results Table 2						
						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	3.2200	0.2642	1.9120	0.0432	0.0216	0.0432
	3.2400	0.2661	1.9249	0.0435	0.0218	0.0435
	3.2600	0.2678	1.9391	0.0439	0.0219	0.0439
	3.2800	0.2694	1.9521	0.0442	0.0221	0.0442
	3.3000	0.2711	1.9642	0.0444	0.0222	0.0444
	3.3200	0.2726	1.9757	0.0447	0.0223	0.0447
	3.3400	0.2742	1.9870	0.0449	0.0225	0.0449
	3.3600	0.2759	1.9993	0.0452	0.0226	0.0452
	3.3800	0.2776	2.0121	0.0456	0.0228	0.0456
	3.4000	0.2794	2.0249	0.0459	0.0229	0.0459
	3.4200	0.2812	2.0390	0.0462	0.0231	0.0462
	3.4400	0.2827	2.0523	0.0465	0.0232	0.0465
	3.4600	0.2844	2.0641	0.0467	0.0234	0.0467
	3.4800	0.2860	2.0763	0.0470	0.0235	0.0470
	3.5000	0.2876	2.0883	0.0473	0.0237	0.0473
	3.5200	0.2894	2.1010	0.0476	0.0238	0.0476
	3.5400	0.2910	2.1143	0.0479	0.0240	0.0479
	3.5600	0.2927	2.1269	0.0482	0.0241	0.0482
	3.5800	0.2945	2.1402	0.0485	0.0243	0.0485
	3.6000	0.2961	2.1540	0.0489	0.0244	0.0489
	3.6200	0.2978	2.1669	0.0492	0.0246	0.0492
	3.6400	0.2995	2.1799	0.0495	0.0247	0.0495
	3.6600	0.3011	2.1926	0.0498	0.0249	0.0498
	3.6800	0.3028	2.2053	0.0501	0.0250	0.0501
	3.7000	0.3045	2.2184	0.0503	0.0252	0.0503
	3.7200	0.3061	2.2308	0.0506	0.0253	0.0506
	3.7400	0.3079	2.2434	0.0509	0.0255	0.0509
	3.7600	0.3097	2.2579	0.0512	0.0256	0.0512
	3.7800	0.3113	2.2721	0.0515	0.0258	0.0515
	3.8000	0.3130	2.2850	0.0519	0.0259	0.0519
	3.8200	0.3145	2.2974	0.0522	0.0261	0.0522
	3.8400	0.3161	2.3093	0.0525	0.0262	0.0525
	3.8600	0.3177	2.3214	0.0527	0.0264	0.0527
	3.8800	0.3193	2.3338	0.0530	0.0265	0.0530
	3.9000	0.3210	2.3463	0.0533	0.0267	0.0533
	3.9200	0.3229	2.3604	0.0537	0.0268	0.0537
	3.9400	0.3244	2.3751	0.0540	0.0270	0.0540
	3.9600	0.3261	2.3881	0.0543	0.0271	0.0543
	3.9800	0.3277	2.4005	0.0546	0.0273	0.0546
	4.0000	0.3293	2.4130	0.0549	0.0274	0.0549
	4.0200	0.3310	2.4258	0.0552	0.0276	0.0552
	4.0400	0.3327	2.4395	0.0555	0.0278	0.0555
	4.0600	0.3343	2.4532	0.0558	0.0279	0.0558
	4.0800	0.3362	2.4668	0.0561	0.0281	0.0561
	4.1000	0.3378	2.4812	0.0565	0.0282	0.0565
	4.1200	0.3393	2.4943	0.0568	0.0284	0.0568
	4.1400	0.3410	2.5065	0.0571	0.0285	0.0571
	4.1600	0.3426	2.5196	0.0574	0.0287	0.0574
	4.1800	0.3443	2.5328	0.0577	0.0289	0.0577
	4.2000	0.3460	2.5464	0.0580	0.0290	0.0580
	4.2200	0.3476	2.5599	0.0583	0.0292	0.0583
	4.2400	0.3492	2.5726	0.0586	0.0293	0.0586
	4.2600	0.3510	2.5863	0.0589	0.0295	0.0589
	4.2800	0.3526	2.6007	0.0593	0.0296	0.0593
	4.3000	0.3544	2.6142	0.0596	0.0298	0.0596
	4.3200	0.3561	2.6281	0.0599	0.0299	0.0599
	4.3400	0.3577	2.6421	0.0602	0.0301	0.0602
	4.3600	0.3594	2.6557	0.0605	0.0303	0.0605
	4.3800	0.3610	2.6690	0.0608	0.0304	0.0608
	4.4000	0.3625	2.6814	0.0611	0.0306	0.0611
	4.4200	0.3644	2.6944	0.0615	0.0307	0.0615
	4.4400	0.3662	2.7094	0.0618	0.0309	0.0618
	4.4600	0.3678	2.7242	0.0622	0.0311	0.0622
	4.4800	0.3695	2.7382	0.0625	0.0313	0.0625
	4.5000	0.3711	2.7516	0.0628	0.0314	0.0628
	4.5200	0.3727	2.7642	0.0631	0.0316	0.0631
	4.5400	0.3743	2.7769	0.0634	0.0317	0.0634
	4.5600	0.3759	2.7894	0.0637	0.0319	0.0637
	4.5800	0.3777	2.8025	0.0640	0.0320	0.0640
	4.6000	0.3796	2.8178	0.0644	0.0322	0.0644
	4.6200	0.3812	2.8330	0.0647	0.0324	0.0647
	4.6400	0.3829	2.8465	0.0651	0.0325	0.0651
	4.6600	0.3845	2.8595	0.0654	0.0327	0.0654
	4.6800	0.3861	2.8720	0.0657	0.0328	0.0657
	4.7000	0.3878	2.8847	0.0660	0.0330	0.0660
	4.7200	0.3894	2.8983	0.0663	0.0332	0.0663
	4.7400	0.3912	2.9119	0.0666	0.0333	0.0666
	4.7600	0.3931	2.9268	0.0670	0.0335	0.0670
	4.7800	0.3947	2.9419	0.0674	0.0337	0.0674
	4.8000	0.3962	2.9549	0.0677	0.0338	0.0677
	4.8200	0.3979	2.9674	0.0680	0.0340	0.0680
	4.8400	0.3994	2.9799	0.0683	0.0342	0.0683
	4.8600	0.4011	2.9924	0.0686	0.0343	0.0686
	4.8800	0.4028	3.0058	0.0689	0.0345	0.0689
	4.9000	0.4043	3.0190	0.0693	0.0346	0.0693
	4.9200	0.4061	3.0320	0.0696	0.0348	0.0696
	4.9400	0.4078	3.0462	0.0699	0.0350	0.0699
	4.9600	0.4094	3.0603	0.0703	0.0351	0.0703
	4.9800	0.4111	3.0736	0.0706	0.0353	0.0706
	5.0000	0.4127	3.0871	0.0709	0.0355	0.0709
	5.0200	0.4144	3.1004	0.0712	0.0356	0.0712
	5.0400	0.4160	3.1139	0.0716	0.0358	0.0716
	5.0600	0.4176	3.1274	0.0719	0.0360	0.0719
	5.0800	0.4193	3.1401	0.0723	0.0361	0.0723
	5.1000	0.4212	3.1544	0.0726	0.0363	0.0726
	5.1200	0.4228	3.1699	0.0730	0.0365	0.0730
	5.1400	0.4245	3.1839	0.0734	0.0367	0.0734
	5.1600	0.4261	3.1970	0.0737	0.0368	0.0737
	5.1800	0.4277	3.2096	0.0740	0.0370	0.0740
	5.2000	0.4293	3.2224	0.0743	0.0372	0.0743
	5.2200	0.4309	3.2357	0.0746	0.0373	0.0746
	5.2400	0.4326	3.2491	0.0750	0.0375	0.0750
	5.2600	0.4345	3.2634	0.0754	0.0377	0.0754
	5.2800	0.4362	3.2793	0.0758	0.0379	0.0758
	5.3000	0.4378	3.2936	0.0761	0.0381	0.0761
	5.3200	0.4394	3.3061	0.0764	0.0382	0.0764
	5.3400	0.4409	3.3186	0.0767	0.0384	0.0767
	5.3600	0.4426	3.3313	0.0771	0.0386	0.0771
	5.3800	0.4443	3.3448	0.0774	0.0387	0.0774
	5.4000	0.4459	3.3589	0.0778	0.0389	0.0778
	5.4200	0.4477	3.3732	0.0782	0.0391	0.0782
	5.4400	0.4495	3.3881	0.0785	0.0393	0.0785
	5.4600	0.4510	3.4025	0.0789	0.0395	0.0789
	5.4800	0.4526	3.4152	0.0793	0.0396	0.0793
	5.5000	0.4543	3.4283	0.0796	0.0398	0.0796
	5.5200	0.4560	3.4420	0.0800	0.0400	0.0800
	5.5400	0.4577	3.4560	0.0803	0.0402	0.0803
	5.5600	0.4594	3.4705	0.0807	0.0403	0.0807
	5.5800	0.4610	3.4841	0.0810	0.0405	0.0810
	5.6000	0.4627	3.4975	0.0814	0.0407	0.0814
	5.6200	0.4644	3.5118	0.0818	0.0409	0.0818
	5.6400	0.4661	3.5256	0.0821	0.0411	0.0821
	5.6600	0.4679	3.5396	0.0825	0.0413	0.0825
	5.6800	0.4695	3.5541	0.0830	0.0415	0.0830
	5.7000	0.4712	3.5680	0.0833	0.0417	0.0833
	5.7200	0.4728	3.5819	0.0837	0.0418	0.0837
	5.7400	0.4744	3.5951	0.0840	0.0420	0.0840
	5.7600	0.4761	3.6077	0.0843	0.0422	0.0843
	5.7800	0.4780	3.6224	0.0847	0.0424	0.0847
	5.8000	0.4796	3.6378	0.0852	0.0426	0.0852
	5.8200	0.4813	3.6522	0.0855	0.0428	0.0855
	5.8400	0.4829	3.6659	0.0859	0.0430	0.0859
	5.8600	0.4845	3.6786	0.0863	0.0431	0.0863
	5.8800	0.4861	3.6914	0.0866	0.0433	0.0866
	5.9000	0.4876	3.7043	0.0870	0.0435	0.0870
	5.9200	0.4893	3.7168	0.0874	0.0437	0.0874
	5.9400	0.4912	3.7311	0.0877	0.0439	0.0877
	5.9600	0.4928	3.7469	0.0881	0.0441	0.0881
	5.9800	0.4944	3.7611	0.0885	0.0443	0.0885
	6.0000	0.4961	3.7744	0.0889	0.0445	0.0889
	6.0200	0.4977	3.7875	0.0893	0.0446	0.0893
	6.0400	0.4993	3.8004	0.0897	0.0448	0.0897
	6.0600	0.5010	3.8141	0.0901	0.0450	0.0901
	6.0800	0.5026	3.8281	0.0905	0.0452	0.0905
	6.1000	0.5045	3.8425	0.0909	0.0454	0.0909
	6.1200	0.5062	3.8581	0.0913	0.0456	0.0913
	6.1400	0.5077	3.8724	0.0917	0.0458	0.0917
	6.1600	0.5094	3.8850	0.0920	0.0460	0.0920
	6.1800	0.5110	3.8979	0.0924	0.0462	0.0924
	6.2000	0.5126	3.9108	0.0928	0.0464	0.0928
	6.2200	0.5143	3.9243	0.0932	0.0466	0.0932
	6.2400	0.5160	3.9387	0.0936	0.0468	0.0936
	6.2600	0.5176	3.9525	0.0940	0.0470	0.0940
	6.2800	0.5194	3.9666	0.0944	0.0472	0.0944
	6.3000	0.5211	3.9815	0.0948	0.0474	0.0948
	6.3200	0.5227	3.9951	0.0952	0.0476	0.0952
	6.3400	0.5244	4.0085	0.0956	0.0478	0.0956
	6.3600	0.5260	4.0220	0.0960	0.0480	0.0960
	6.3800	0.5277	4.0353	0.0964	0.0482	0.0964
	6.4000	0.5293	4.0490	0.0968	0.0484	0.0968
	6.4200	0.5309	4.0622	0.0973	0.0486	0.0973
	6.4400	0.5327	4.0753	0.0977	0.0488	0.0977
	6.4600	0.5345	4.0906	0.0981	0.0490	0.0981
	6.4800	0.5361	4.1055	0.0985	0.0493	0.0985
	6.5000	0.5378	4.1187	0.0989	0.0495	0.0989
	6.5200	0.5394	4.1319	0.0993	0.0497	0.0993
	6.5400	0.5410	4.1446	0.0997	0.0499	0.0997
	6.5600	0.5427	4.1575	0.1001	0.0501	0.1001
	6.5800	0.5443	4.1705	0.1006	0.0503	0.1006
	6.6000	0.5460	4.1835	0.1010	0.0505	0.1010
	6.6200	0.5479	4.1985	0.1014	0.0507	0.1014
	6.6400	0.5495	4.2140	0.1019	0.0509	0.1019
	6.6600	0.5512	4.2275	0.1023	0.0511	0.1023
	6.6800	0.5528	4.2403	0.1027	0.0513	0.1027
	6.7000	0.5544	4.2531	0.1031	0.0516	0.1031
	6.7200	0.5561	4.2661	0.1035	0.0518	0.1035
	6.7400	0.5578	4.2805	0.1040	0.0520	0.1040
	6.7600	0.5595	4.2949	0.1044	0.0522	0.1044
	6.7800	0.5614	4.3097	0.1049	0.0524	0.1049
	6.8000	0.5630	4.3247	0.1054	0.0527	0.1054
	6.8200	0.5645	4.3375	0.1058	0.0529	0.1058
	6.8400	0.5662	4.3497	0.1062	0.0531	0.1062
	6.8600	0.5678	4.3627	0.1066	0.0533	0.1066
	6.8800	0.5695	4.3762	0.1070	0.0535	0.1070
	6.9000	0.5712	4.3902	0.1075	0.0538	0.1075
	6.9200	0.5727	4.4038	0.1080	0.0540	0.1080
	6.9400	0.5744	4.4164	0.1084	0.0542	0.1084
	6.9600	0.5761	4.4300	0.1088	0.0544	0.1088
	6.9800	0.5777	4.4442	0.1093	0.0547	0.1093
	7.0000	0.5794	4.4575	0.1098	0.0549	0.1098
	7.0200	0.5811	4.4715	0.1102	0.0551	0.1102
	7.0400	0.5828	4.4855	0.1107	0.0553	0.1107
	7.0600	0.5845	4.4994	0.1111	0.0556	0.1111
