t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
84.595,-355979,-355949,-427.616666667,0.070
84.762,-356255,-355949,-427.616666667,0.716
84.918,-355928,-355949,-427.616666667,-0.049
85.075,-356023,-355949,-427.616666667,0.173
85.222,-356225,-355949,-427.616666667,0.645
85.389,-356131,-355949,-427.616666667,0.426
85.552,-356368,-355949,-427.616666667,0.980
85.715,-355892,-355949,-427.616666667,-0.133
85.885,-356197,-355949,-427.616666667,0.580
86.134,-356226,-355949,-427.616666667,0.648
86.321,-356112,-355949,-427.616666667,0.381
86.499,-356197,-355949,-427.616666667,0.580
86.670,-356197,-355949,-427.616666667,0.580
86.846,-356111,-355949,-427.616666667,0.379
87.011,-356050,-355949,-427.616666667,0.236
87.177,-356265,-355949,-427.616666667,0.739
87.328,-356167,-355949,-427.616666667,0.510
87.491,-355999,-355949,-427.616666667,0.117
87.671,-356087,-355949,-427.616666667,0.323
87.857,-355962,-355949,-427.616666667,0.030
88.040,-356315,-355949,-427.616666667,0.856
88.231,-356085,-355949,-427.616666667,0.318
88.420,-356436,-355949,-427.616666667,1.139
88.595,-356308,-355949,-427.616666667,0.840
88.768,-356266,-355949,-427.616666667,0.741
88.985,-356073,-355949,-427.616666667,0.290
89.158,-355980,-355949,-427.616666667,0.072
89.344,-356279,-355949,-427.616666667,0.772
89.578,-356193,-355949,-427.616666667,0.571
89.787,-356270,-355949,-427.616666667,0.751
90.007,-356469,-355949,-427.616666667,1.216
90.230,-356306,-355949,-427.616666667,0.835
90.455,-356108,-355949,-427.616666667,0.372
90.681,-356133,-355949,-427.616666667,0.430
90.888,-356238,-355949,-427.616666667,0.676
