t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
56.202,622812,-355949,-427.616666667,-2288.875
56.384,637052,-355949,-427.616666667,-2322.176
56.547,675183,-355949,-427.616666667,-2411.347
56.712,712620,-355949,-427.616666667,-2498.895
56.868,743867,-355949,-427.616666667,-2571.967
57.038,772191,-355949,-427.616666667,-2638.204
57.201,790001,-355949,-427.616666667,-2679.853
57.350,788709,-355949,-427.616666667,-2676.832
57.519,784349,-355949,-427.616666667,-2666.636
57.683,805556,-355949,-427.616666667,-2716.229
57.843,829864,-355949,-427.616666667,-2773.075
58.027,857645,-355949,-427.616666667,-2838.042
58.206,880322,-355949,-427.616666667,-2891.073
58.385,896915,-355949,-427.616666667,-2929.876
58.564,910595,-355949,-427.616666667,-2961.868
58.738,921080,-355949,-427.616666667,-2986.387
58.907,934241,-355949,-427.616666667,-3017.165
59.083,944470,-355949,-427.616666667,-3041.086
59.249,955031,-355949,-427.616666667,-3065.783
59.411,964421,-355949,-427.616666667,-3087.742
59.582,971989,-355949,-427.616666667,-3105.440
59.765,970017,-355949,-427.616666667,-3100.829
59.935,971546,-355949,-427.616666667,-3104.404
60.112,983756,-355949,-427.616666667,-3132.958
60.288,993630,-355949,-427.616666667,-3156.049
60.455,1003943,-355949,-427.616666667,-3180.166
60.633,1013879,-355949,-427.616666667,-3203.402
60.797,1020486,-355949,-427.616666667,-3218.853
60.961,1028634,-355949,-427.616666667,-3237.907
61.128,1034861,-355949,-427.616666667,-3252.469
61.292,1016611,-355949,-427.616666667,-3209.791
61.449,1003070,-355949,-427.616666667,-3178.124
61.615,989302,-355949,-427.616666667,-3145.927
61.776,980253,-355949,-427.616666667,-3124.766
61.938,972985,-355949,-427.616666667,-3107.769
62.093,966326,-355949,-427.616666667,-3092.197
62.268,960088,-355949,-427.616666667,-3077.609
62.420,954413,-355949,-427.616666667,-3064.338
62.587,949562,-355949,-427.616666667,-3052.994
62.752,927955,-355949,-427.616666667,-3002.465
62.927,819500,-355949,-427.616666667,-2748.838
63.118,719832,-355949,-427.616666667,-2515.760
63.294,626410,-355949,-427.616666667,-2297.289
63.447,562755,-355949,-427.616666667,-2148.429
63.616,495769,-355949,-427.616666667,-1991.779
63.795,429316,-355949,-427.616666667,-1836.376
63.973,373814,-355949,-427.616666667,-1706.582
64.153,318239,-355949,-427.616666667,-1576.618
64.327,273232,-355949,-427.616666667,-1471.367
64.495,235167,-355949,-427.616666667,-1382.350
64.672,191408,-355949,-427.616666667,-1280.018
64.839,158873,-355949,-427.616666667,-1203.933
65.013,123950,-355949,-427.616666667,-1122.264
65.175,91614,-355949,-427.616666667,-1046.645
65.343,65535,-355949,-427.616666667,-985.658
65.518,35383,-355949,-427.616666667,-915.147
65.697,9514,-355949,-427.616666667,-854.651
65.876,-11902,-355949,-427.616666667,-804.569
66.031,-31802,-355949,-427.616666667,-758.032
66.197,-50618,-355949,-427.616666667,-714.030
66.362,-68849,-355949,-427.616666667,-671.396
66.532,-86237,-355949,-427.616666667,-630.733
66.678,-101636,-355949,-427.616666667,-594.722
66.816,-114273,-355949,-427.616666667,-565.170
66.979,-128641,-355949,-427.616666667,-531.570
67.144,-142368,-355949,-427.616666667,-499.468
67.311,-156497,-355949,-427.616666667,-466.427
67.469,-166752,-355949,-427.616666667,-442.445
67.647,-180808,-355949,-427.616666667,-409.575
67.811,-190343,-355949,-427.616666667,-387.277
67.968,-201482,-355949,-427.616666667,-361.228
68.160,-211978,-355949,-427.616666667,-336.682
68.333,-221624,-355949,-427.616666667,-314.125
68.509,-231170,-355949,-427.616666667,-291.801
68.699,-242243,-355949,-427.616666667,-265.906
68.866,-250454,-355949,-427.616666667,-246.705
69.047,-259415,-355949,-427.616666667,-225.749
69.217,-266472,-355949,-427.616666667,-209.246
69.384,-273670,-355949,-427.616666667,-192.413
69.648,-286392,-355949,-427.616666667,-162.662
69.790,-291416,-355949,-427.616666667,-150.913
69.977,-299204,-355949,-427.616666667,-132.701
70.158,-305670,-355949,-427.616666667,-117.580
70.331,-309914,-355949,-427.616666667,-107.655
70.512,-316648,-355949,-427.616666667,-91.907
70.694,-320982,-355949,-427.616666667,-81.772
70.883,-326149,-355949,-427.616666667,-69.689
71.058,-330480,-355949,-427.616666667,-59.560
71.252,-335017,-355949,-427.616666667,-48.950
71.424,-339118,-355949,-427.616666667,-39.360
71.606,-342437,-355949,-427.616666667,-31.598
71.784,-345724,-355949,-427.616666667,-23.912
71.973,-348494,-355949,-427.616666667,-17.434
72.148,-350875,-355949,-427.616666667,-11.866
72.320,-352205,-355949,-427.616666667,-8.756
72.493,-352570,-355949,-427.616666667,-7.902
72.692,-352555,-355949,-427.616666667,-7.937
72.851,-352727,-355949,-427.616666667,-7.535
73.019,-352716,-355949,-427.616666667,-7.561
73.196,-352793,-355949,-427.616666667,-7.380
73.379,-352972,-355949,-427.616666667,-6.962
73.550,-352734,-355949,-427.616666667,-7.518
73.730,-352824,-355949,-427.616666667,-7.308
