X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Ni,0.0,27.5,0.0,10.0,5.5,57.0,60.5,609.9190252482164,7.359500000000001,20,,
Ni,0.0,27.5,0.0,10.0,6.0,56.5,60.5,612.0046625056457,7.429,20,,
Ni,0.0,27.5,0.0,10.0,6.5,56.0,60.5,614.0050627859099,7.498500000000001,20,,
Ni,0.0,27.5,0.0,10.0,7.0,55.5,60.5,615.9298938712739,7.5680000000000005,20,,
Ni,0.0,27.5,0.0,10.0,7.5,55.0,60.5,617.7871234004987,7.637500000000001,20,,
Ni,0.0,27.5,0.0,10.0,8.0,54.5,60.5,619.5834101449059,7.707000000000001,20,,
Ni,0.0,27.5,0.0,10.0,8.5,54.0,60.5,621.3243865984351,7.7765,20,,
Ni,0.0,27.5,0.0,10.0,9.0,53.5,60.5,623.0148676499821,7.846,20,,
Ni,0.0,27.5,0.0,10.0,9.5,53.0,60.5,624.6590076796718,7.915500000000001,20,,
Ni,0.0,27.5,0.0,10.0,10.0,52.5,60.5,626.2604208533496,7.985000000000001,20,,
Ni,0.0,27.5,0.0,10.5,0.0,62.0,62.15,572.3859903342482,6.7955000000000005,20,,
Ni,0.0,27.5,0.0,10.5,0.5,61.5,62.15,586.5281259579791,6.865,20,,
Ni,0.0,27.5,0.0,10.5,1.0,61.0,62.15,592.3859903342482,6.934500000000001,20,,
Ni,0.0,27.5,0.0,10.5,1.5,60.5,62.15,596.88088776208,7.0040000000000004,20,,
Ni,0.0,27.5,0.0,10.5,2.0,60.0,62.15,600.6702615817101,7.073500000000001,20,,
Ni,0.0,27.5,0.0,10.5,2.5,59.5,62.15,604.0087669359319,7.143000000000001,20,,
Ni,0.0,27.5,0.0,10.5,3.0,59.0,62.15,607.0270064856257,7.2125,20,,
Ni,0.0,27.5,0.0,10.5,3.5,58.5,62.15,609.8025642019876,7.282000000000001,20,,
Ni,0.0,27.5,0.0,10.5,4.0,58.0,62.15,612.3859903342482,7.351500000000001,20,,
Ni,0.0,27.5,0.0,10.5,4.5,57.5,62.15,614.812397205441,7.421,20,,
Ni,0.0,27.5,0.0,10.5,5.0,57.0,62.15,617.107349884244,7.490500000000001,20,,
Ni,0.0,27.5,0.0,10.5,5.5,56.5,62.15,619.2901479324825,7.5600000000000005,20,,
Ni,0.0,27.5,0.0,10.5,6.0,56.0,62.15,621.3757851899118,7.6295,20,,
Ni,0.0,27.5,0.0,10.5,6.5,55.5,62.15,623.376185470176,7.699000000000001,20,,
Ni,0.0,27.5,0.0,10.5,7.0,55.0,62.15,625.30101655554,7.7685,20,,
Ni,0.0,27.5,0.0,10.5,7.5,54.5,62.15,627.1582460847648,7.838000000000001,20,,
Ni,0.0,27.5,0.0,10.5,8.0,54.0,62.15,628.954532829172,7.907500000000001,20,,
Ni,0.0,27.5,0.0,10.5,8.5,53.5,62.15,630.6955092827012,7.977,20,,
Ni,0.0,27.5,0.0,10.5,9.0,53.0,62.15,632.3859903342482,8.0465,20,,
Ni,0.0,27.5,0.0,10.5,9.5,52.5,62.15,634.0301303639379,8.116,20,,
Ni,0.0,27.5,0.0,10.5,10.0,52.0,62.15,635.6315435376157,8.185500000000001,20,,
Ni,0.0,28.0,0.0,9.5,0.0,62.5,59.349999999999994,555.06743195266,6.441500000000001,20,,
Ni,0.0,28.0,0.0,9.5,0.5,62.0,59.349999999999994,569.2095675763909,6.511000000000001,20,,
Ni,0.0,28.0,0.0,9.5,1.0,61.5,59.349999999999994,575.06743195266,6.580500000000002,20,,
Ni,0.0,28.0,0.0,9.5,1.5,61.0,59.349999999999994,579.5623293804917,6.650000000000001,20,,
Ni,0.0,28.0,0.0,9.5,2.0,60.5,59.349999999999994,583.3517032001218,6.719500000000002,20,,
Ni,0.0,28.0,0.0,9.5,2.5,60.0,59.349999999999994,586.6902085543437,6.7890000000000015,20,,
Ni,0.0,28.0,0.0,9.5,3.0,59.5,59.349999999999994,589.7084481040375,6.858500000000001,20,,
Ni,0.0,28.0,0.0,9.5,3.5,59.0,59.349999999999994,592.4840058203994,6.928000000000002,20,,
Ni,0.0,28.0,0.0,9.5,4.0,58.5,59.349999999999994,595.06743195266,6.997500000000001,20,,
Ni,0.0,28.0,0.0,9.5,4.5,58.0,59.349999999999994,597.4938388238528,7.067000000000001,20,,
Ni,0.0,28.0,0.0,9.5,5.0,57.5,59.349999999999994,599.7887915026557,7.136500000000002,20,,
Ni,0.0,28.0,0.0,9.5,5.5,57.0,59.349999999999994,601.9715895508942,7.206000000000001,20,,
Ni,0.0,28.0,0.0,9.5,6.0,56.5,59.349999999999994,604.0572268083235,7.275500000000001,20,,
Ni,0.0,28.0,0.0,9.5,6.5,56.0,59.349999999999994,606.0576270885878,7.3450000000000015,20,,
Ni,0.0,28.0,0.0,9.5,7.0,55.5,59.349999999999994,607.9824581739517,7.414500000000001,20,,
Ni,0.0,28.0,0.0,9.5,7.5,55.0,59.349999999999994,609.8396877031765,7.484000000000002,20,,
Ni,0.0,28.0,0.0,9.5,8.0,54.5,59.349999999999994,611.6359744475837,7.553500000000001,20,,
Ni,0.0,28.0,0.0,9.5,8.5,54.0,59.349999999999994,613.376950901113,7.623000000000001,20,,
Ni,0.0,28.0,0.0,9.5,9.0,53.5,59.349999999999994,615.06743195266,7.692500000000001,20,,
Ni,0.0,28.0,0.0,9.5,9.5,53.0,59.349999999999994,616.7115719823497,7.762000000000001,20,,
Ni,0.0,28.0,0.0,9.5,10.0,52.5,59.349999999999994,618.3129851560275,7.831500000000002,20,,
Ni,0.0,28.0,0.0,10.0,0.0,62.0,61.0,564.6759109947269,6.642000000000001,20,,
Ni,0.0,28.0,0.0,10.0,0.5,61.5,61.0,578.8180466184579,6.711500000000001,20,,
Ni,0.0,28.0,0.0,10.0,1.0,61.0,61.0,584.6759109947269,6.7810000000000015,20,,
Ni,0.0,28.0,0.0,10.0,1.5,60.5,61.0,589.1708084225587,6.850500000000001,20,,
Ni,0.0,28.0,0.0,10.0,2.0,60.0,61.0,592.9601822421888,6.920000000000002,20,,
Ni,0.0,28.0,0.0,10.0,2.5,59.5,61.0,596.2986875964107,6.989500000000001,20,,
Ni,0.0,28.0,0.0,10.0,3.0,59.0,61.0,599.3169271461045,7.059000000000001,20,,
Ni,0.0,28.0,0.0,10.0,3.5,58.5,61.0,602.0924848624663,7.128500000000002,20,,
Ni,0.0,28.0,0.0,10.0,4.0,58.0,61.0,604.6759109947269,7.198000000000001,20,,
Ni,0.0,28.0,0.0,10.0,4.5,57.5,61.0,607.1023178659198,7.267500000000001,20,,
Ni,0.0,28.0,0.0,10.0,5.0,57.0,61.0,609.3972705447227,7.3370000000000015,20,,
Ni,0.0,28.0,0.0,10.0,5.5,56.5,61.0,611.5800685929612,7.406500000000001,20,,
Ni,0.0,28.0,0.0,10.0,6.0,56.0,61.0,613.6657058503905,7.476000000000001,20,,
Ni,0.0,28.0,0.0,10.0,6.5,55.5,61.0,615.6661061306547,7.545500000000001,20,,
Ni,0.0,28.0,0.0,10.0,7.0,55.0,61.0,617.5909372160187,7.615000000000001,20,,
Ni,0.0,28.0,0.0,10.0,7.5,54.5,61.0,619.4481667452435,7.684500000000002,20,,
Ni,0.0,28.0,0.0,10.0,8.0,54.0,61.0,621.2444534896507,7.754000000000001,20,,
Ni,0.0,28.0,0.0,10.0,8.5,53.5,61.0,622.98542994318,7.823500000000001,20,,
Ni,0.0,28.0,0.0,10.0,9.0,53.0,61.0,624.6759109947269,7.893000000000001,20,,
Ni,0.0,28.0,0.0,10.0,9.5,52.5,61.0,626.3200510244167,7.962500000000001,20,,
Ni,0.0,28.0,0.0,10.0,10.0,52.0,61.0,627.9214641980946,8.032000000000002,20,,
Ni,0.0,28.0,0.0,10.5,0.0,61.5,62.65,574.047033678993,6.8425,20,,
Ni,0.0,28.0,0.0,10.5,0.5,61.0,62.65,588.1891693027239,6.912,20,,
