X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Fe_wt% (balance),Ms_C,PREN,Strength_proxy_MPa,Service_T_C (info),Ms_ok_(>=200C),Fe_balance_ok_(>80%),Ni_wt%,Mn_wt%,Si_wt%
Mo,0.2,11.0,0.0,2.5,86.3,302.54999999999995,19.25,417.62192614753127,20,True,True,,,
Mo,0.2,11.0,0.05,0.0,88.75,321.29999999999995,11.8,268.13449013242473,20,True,True,,,
Mo,0.2,11.0,0.05,0.5,88.25,317.54999999999995,13.450000000000001,352.98730387481044,20,True,True,,,
Mo,0.2,11.0,0.05,1.0,87.75,313.79999999999995,15.100000000000001,388.13449013242473,20,True,True,,,
Mo,0.2,11.0,0.05,1.5,87.25,310.04999999999995,16.75,415.1038746994154,20,True,True,,,
Mo,0.2,11.0,0.05,2.0,86.75,306.29999999999995,18.400000000000002,437.84011761719614,20,True,True,,,
Mo,0.2,11.0,0.05,2.5,86.25,302.54999999999995,20.05,457.8711497425275,20,True,True,,,
Mo,0.2,11.0,0.1,0.0,88.7,321.29999999999995,12.6,284.80626442045934,20,True,True,,,
Mo,0.2,11.0,0.1,0.5,88.2,317.54999999999995,14.25,369.65907816284505,20,True,True,,,
Mo,0.2,11.0,0.1,1.0,87.7,313.79999999999995,15.9,404.80626442045934,20,True,True,,,
Mo,0.2,11.0,0.1,1.5,87.2,310.04999999999995,17.55,431.77564898745004,20,True,True,,,
Mo,0.2,11.0,0.1,2.0,86.7,306.29999999999995,19.200000000000003,454.51189190523075,20,True,True,,,
Mo,0.2,11.0,0.1,2.5,86.2,302.54999999999995,20.85,474.5429240305621,20,True,True,,,
Mo,0.2,11.0,0.15,0.0,88.65,321.29999999999995,13.4,297.598966769162,20,True,True,,,
Mo,0.2,11.0,0.15,0.5,88.15,317.54999999999995,15.05,382.4517805115477,20,True,True,,,
Mo,0.2,11.0,0.15,1.0,87.65,313.79999999999995,16.7,417.598966769162,20,True,True,,,
Mo,0.2,11.0,0.15,1.5,87.15,310.04999999999995,18.349999999999998,444.56835133615266,20,True,True,,,
Mo,0.2,11.0,0.15,2.0,86.65,306.29999999999995,20.0,467.30459425393343,20,True,True,,,
Mo,0.2,11.0,0.15,2.5,86.15,302.54999999999995,21.65,487.3356263792648,20,True,True,,,
Mo,0.2,12.0,0.0,0.0,87.8,309.2,12.0,233.0469554048109,20,True,True,,,
Mo,0.2,12.0,0.0,0.5,87.3,305.45,13.65,317.8997691471966,20,True,True,,,
Mo,0.2,12.0,0.0,1.0,86.8,301.7,15.3,353.0469554048109,20,True,True,,,
Mo,0.2,12.0,0.0,1.5,86.3,297.95,16.95,380.0163399718016,20,True,True,,,
Mo,0.2,12.0,0.0,2.0,85.8,294.2,18.6,402.7525828895823,20,True,True,,,
Mo,0.2,12.0,0.0,2.5,85.3,290.45,20.25,422.78361501491366,20,True,True,,,
Mo,0.2,12.0,0.05,0.0,87.75,309.2,12.8,273.2961789998071,20,True,True,,,
Mo,0.2,12.0,0.05,0.5,87.25,305.45,14.450000000000001,358.14899274219283,20,True,True,,,
Mo,0.2,12.0,0.05,1.0,86.75,301.7,16.1,393.2961789998071,20,True,True,,,
Mo,0.2,12.0,0.05,1.5,86.25,297.95,17.75,420.2655635667978,20,True,True,,,
Mo,0.2,12.0,0.05,2.0,85.75,294.2,19.400000000000002,443.00180648457854,20,True,True,,,
Mo,0.2,12.0,0.05,2.5,85.25,290.45,21.05,463.0328386099099,20,True,True,,,
Mo,0.2,12.0,0.1,0.0,87.7,309.2,13.6,289.96795328784174,20,True,True,,,
Mo,0.2,12.0,0.1,0.5,87.2,305.45,15.25,374.82076703022744,20,True,True,,,
Mo,0.2,12.0,0.1,1.0,86.7,301.7,16.900000000000002,409.96795328784174,20,True,True,,,
Mo,0.2,12.0,0.1,1.5,86.2,297.95,18.55,436.93733785483244,20,True,True,,,
Mo,0.2,12.0,0.1,2.0,85.7,294.2,20.200000000000003,459.67358077261315,20,True,True,,,
Mo,0.2,12.0,0.1,2.5,85.2,290.45,21.85,479.7046128979445,20,True,True,,,
Mo,0.2,12.0,0.15,0.0,87.65,309.2,14.4,302.7606556365444,20,True,True,,,
Mo,0.2,12.0,0.15,0.5,87.15,305.45,16.05,387.6134693789301,20,True,True,,,
Mo,0.2,12.0,0.15,1.0,86.65,301.7,17.7,422.7606556365444,20,True,True,,,
Mo,0.2,12.0,0.15,1.5,86.15,297.95,19.349999999999998,449.73004020353505,20,True,True,,,
Mo,0.2,12.0,0.15,2.0,85.65,294.2,21.0,472.4662831213158,20,True,True,,,
Mo,0.2,12.0,0.15,2.5,85.15,290.45,22.65,492.4973152466472,20,True,True,,,
Mo,0.2,13.0,0.0,0.0,86.8,297.1,13.0,237.9976935162291,20,True,True,,,
Mo,0.2,13.0,0.0,0.5,86.3,293.35,14.65,322.8505072586148,20,True,True,,,
Mo,0.2,13.0,0.0,1.0,85.8,289.6,16.3,357.9976935162291,20,True,True,,,
Mo,0.2,13.0,0.0,1.5,85.3,285.85,17.95,384.9670780832198,20,True,True,,,
Mo,0.2,13.0,0.0,2.0,84.8,282.1,19.6,407.7033210010005,20,True,True,,,
Mo,0.2,13.0,0.0,2.5,84.3,278.35,21.25,427.7343531263319,20,True,True,,,
Mo,0.2,13.0,0.05,0.0,86.75,297.1,13.8,278.24691711122534,20,True,True,,,
Mo,0.2,13.0,0.05,0.5,86.25,293.35,15.450000000000001,363.09973085361105,20,True,True,,,
Mo,0.2,13.0,0.05,1.0,85.75,289.6,17.1,398.24691711122534,20,True,True,,,
Mo,0.2,13.0,0.05,1.5,85.25,285.85,18.75,425.21630167821604,20,True,True,,,
Mo,0.2,13.0,0.05,2.0,84.75,282.1,20.400000000000002,447.95254459599676,20,True,True,,,
Mo,0.2,13.0,0.05,2.5,84.25,278.35,22.05,467.9835767213281,20,True,True,,,
Mo,0.2,13.0,0.1,0.0,86.7,297.1,14.6,294.91869139925996,20,True,True,,,
Mo,0.2,13.0,0.1,0.5,86.2,293.35,16.25,379.77150514164566,20,True,True,,,
Mo,0.2,13.0,0.1,1.0,85.7,289.6,17.900000000000002,414.91869139925996,20,True,True,,,
Mo,0.2,13.0,0.1,1.5,85.2,285.85,19.55,441.88807596625065,20,True,True,,,
Mo,0.2,13.0,0.1,2.0,84.7,282.1,21.200000000000003,464.62431888403137,20,True,True,,,
Mo,0.2,13.0,0.1,2.5,84.2,278.35,22.85,484.65535100936273,20,True,True,,,
Mo,0.2,13.0,0.15,0.0,86.65,297.1,15.4,307.71139374796263,20,True,True,,,
Mo,0.2,13.0,0.15,0.5,86.15,293.35,17.05,392.56420749034834,20,True,True,,,
Mo,0.2,13.0,0.15,1.0,85.65,289.6,18.7,427.71139374796263,20,True,True,,,
Mo,0.2,13.0,0.15,1.5,85.15,285.85,20.349999999999998,454.6807783149533,20,True,True,,,
Mo,0.2,13.0,0.15,2.0,84.65,282.1,22.0,477.41702123273404,20,True,True,,,
Mo,0.2,13.0,0.15,2.5,84.15,278.35,23.65,497.4480533580654,20,True,True,,,
Mo,0.2,14.0,0.0,0.0,85.8,285.0,14.0,242.76140741207743,20,True,True,,,
Mo,0.2,14.0,0.0,0.5,85.3,281.25,15.65,327.61422115446317,20,True,True,,,
Mo,0.2,14.0,0.0,1.0,84.8,277.5,17.3,362.76140741207746,20,True,True,,,
Mo,0.2,14.0,0.0,1.5,84.3,273.75,18.95,389.7307919790681,20,True,True,,,
Mo,0.2,14.0,0.0,2.0,83.8,270.0,20.6,412.4670348968489,20,True,True,,,
Mo,0.2,14.0,0.0,2.5,83.3,266.25,22.25,432.4980670221802,20,True,True,,,
Mo,0.2,14.0,0.05,0.0,85.75,285.0,14.8,283.01063100707364,20,True,True,,,
Mo,0.2,14.0,0.05,0.5,85.25,281.25,16.45,367.86344474945935,20,True,True,,,
Mo,0.2,14.0,0.05,1.0,84.75,277.5,18.1,403.01063100707364,20,True,True,,,
Mo,0.2,14.0,0.05,1.5,84.25,273.75,19.75,429.9800155740643,20,True,True,,,
Mo,0.2,14.0,0.05,2.0,83.75,270.0,21.400000000000002,452.71625849184505,20,True,True,,,
Mo,0.2,14.0,0.05,2.5,83.25,266.25,23.05,472.7472906171764,20,True,True,,,
Mo,0.2,14.0,0.1,0.0,85.7,285.0,15.6,299.68240529510825,20,True,True,,,
Mo,0.2,14.0,0.1,0.5,85.2,281.25,17.25,384.53521903749396,20,True,True,,,
Mo,0.2,14.0,0.1,1.0,84.7,277.5,18.900000000000002,419.68240529510825,20,True,True,,,
