Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.05			
2	50.00	50.00	54.07			
3	50.00	50.00	54.05			
						
Results Table 2						

						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	7.1600	0.5926	4.2479	0.1573	0.0786	0.1573
	7.1800	0.5942	4.2586	0.1577	0.0788	0.1577
	7.2000	0.5958	4.2692	0.1581	0.0790	0.1581
	7.2200	0.5974	4.2799	0.1585	0.0792	0.1585
	7.2400	0.5990	4.2904	0.1588	0.0794	0.1588
	7.2600	0.6009	4.3019	0.1593	0.0796	0.1593
	7.2800	0.6027	4.3154	0.1598	0.0799	0.1598
	7.3000	0.6043	4.3276	0.1602	0.0801	0.1602
	7.3200	0.6059	4.3384	0.1606	0.0803	0.1606
	7.3400	0.6075	4.3490	0.1611	0.0805	0.1611
	7.3600	0.6091	4.3594	0.1614	0.0807	0.1614
	7.3800	0.6108	4.3703	0.1618	0.0809	0.1618
	7.4000	0.6124	4.3818	0.1622	0.0811	0.1622
	7.4200	0.6143	4.3934	0.1627	0.0813	0.1627
	7.4400	0.6161	4.4062	0.1631	0.0816	0.1631
	7.4600	0.6176	4.4184	0.1636	0.0818	0.1636
	7.4800	0.6193	4.4288	0.1640	0.0820	0.1640
	7.5000	0.6209	4.4396	0.1644	0.0822	0.1644
	7.5200	0.6225	4.4504	0.1648	0.0824	0.1648
	7.5400	0.6242	4.4616	0.1652	0.0826	0.1652
	7.5600	0.6259	4.4734	0.1656	0.0828	0.1656
	7.5800	0.6275	4.4845	0.1661	0.0830	0.1661
	7.6000	0.6293	4.4960	0.1664	0.0832	0.1664
	7.6200	0.6310	4.5082	0.1669	0.0835	0.1669
	7.6400	0.6326	4.5198	0.1673	0.0837	0.1673
	7.6600	0.6343	4.5312	0.1678	0.0839	0.1678
	7.6800	0.6359	4.5426	0.1682	0.0841	0.1682
	7.7000	0.6376	4.5537	0.1686	0.0843	0.1686
	7.7200	0.6393	4.5651	0.1691	0.0845	0.1691
	7.7400	0.6409	4.5763	0.1694	0.0847	0.1694
	7.7600	0.6427	4.5873	0.1699	0.0849	0.1699
	7.7800	0.6445	4.6000	0.1703	0.0852	0.1703
	7.8000	0.6461	4.6125	0.1708	0.0854	0.1708
	7.8200	0.6478	4.6236	0.1712	0.0856	0.1712
	7.8400	0.6493	4.6342	0.1716	0.0858	0.1716
	7.8600	0.6509	4.6445	0.1720	0.0860	0.1720
	7.8800	0.6526	4.6552	0.1724	0.0862	0.1724
	7.9000	0.6541	4.6662	0.1728	0.0864	0.1728
	7.9200	0.6558	4.6772	0.1732	0.0866	0.1732
	7.9400	0.6577	4.6893	0.1737	0.0868	0.1737
	7.9600	0.6593	4.7024	0.1742	0.0871	0.1742
	7.9800	0.6608	4.7136	0.1746	0.0873	0.1746
	8.0000	0.6625	4.7239	0.1750	0.0875	0.1750
	8.0200	0.6640	4.7345	0.1754	0.0877	0.1754
	8.0400	0.6657	4.7453	0.1758	0.0879	0.1758
	8.0600	0.6675	4.7572	0.1762	0.0881	0.1762
	8.0800	0.6692	4.7694	0.1767	0.0883	0.1767
	8.1000	0.6710	4.7817	0.1771	0.0886	0.1771
	8.1200	0.6727	4.7944	0.1776	0.0888	0.1776
	8.1400	0.6742	4.8058	0.1780	0.0890	0.1780
	8.1600	0.6758	4.8158	0.1784	0.0892	0.1784
	8.1800	0.6775	4.8265	0.1788	0.0894	0.1788
	8.2000	0.6791	4.8377	0.1792	0.0896	0.1792
	8.2200	0.6809	4.8495	0.1797	0.0898	0.1797
	8.2400	0.6825	4.8616	0.1801	0.0901	0.1801
	8.2600	0.6841	4.8728	0.1805	0.0903	0.1805
	8.2800	0.6859	4.8843	0.1810	0.0905	0.1810
	8.3000	0.6875	4.8965	0.1814	0.0907	0.1814
	8.3200	0.6892	4.9078	0.1818	0.0909	0.1818
	8.3400	0.6909	4.9194	0.1823	0.0911	0.1823
	8.3600	0.6926	4.9313	0.1828	0.0914	0.1828
	8.3800	0.6943	4.9429	0.1832	0.0916	0.1832
	8.4000	0.6958	4.9542	0.1836	0.0918	0.1836
	8.4200	0.6974	4.9645	0.1840	0.0920	0.1840
	8.4400	0.6992	4.9752	0.1844	0.0922	0.1844
