X_element,C_wt%,Cr_wt%,N_wt%,Ni_wt%,Mo_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Mo,0.01,27.0,0.05,9.5,6.0,57.44,47.599999999999994,602.6974675533994,6.264588,20,,
Mo,0.01,27.0,0.05,9.5,6.5,56.94,49.25,614.6998692349852,6.465088,20,,
Mo,0.01,27.0,0.05,9.5,7.0,56.44,50.89999999999999,626.2488557471689,6.6655880000000005,20,,
Mo,0.01,27.0,0.05,9.5,7.5,55.94,52.55,637.3922329225177,6.8660879999999995,20,,
Mo,0.01,27.0,0.05,9.5,8.0,55.44,54.199999999999996,648.169953388961,7.066588,20,,
Mo,0.01,27.0,0.05,9.5,8.5,54.94,55.849999999999994,658.6158121101362,7.267088000000001,20,,
Mo,0.01,27.0,0.05,9.5,9.0,54.44,57.5,668.7586984194181,7.467588,20,,
Mo,0.01,27.0,0.05,9.5,9.5,53.94,59.14999999999999,678.6235385975566,7.668088000000001,20,,
Mo,0.01,27.0,0.05,9.5,10.0,53.44,60.8,688.2320176396236,7.868588000000001,20,,
Mo,0.01,27.0,0.05,10.0,0.0,62.94,27.8,310.3601115930959,3.9280880000000002,20,,
Mo,0.01,27.0,0.05,10.0,0.5,62.44,29.45,395.2129253354816,4.128588000000001,20,,
Mo,0.01,27.0,0.05,10.0,1.0,61.94,31.1,430.3601115930959,4.3290880000000005,20,,
Mo,0.01,27.0,0.05,10.0,1.5,61.44,32.75,457.3294961600866,4.529588,20,,
Mo,0.01,27.0,0.05,10.0,2.0,60.94,34.4,480.0657390778673,4.730088,20,,
Mo,0.01,27.0,0.05,10.0,2.5,60.44,36.05,500.09677120319867,4.930588,20,,
Mo,0.01,27.0,0.05,10.0,3.0,59.94,37.699999999999996,518.2062085013612,5.131088,20,,
Mo,0.01,27.0,0.05,10.0,3.5,59.44,39.349999999999994,534.8595547995324,5.331588,20,,
